COURSE,SECTION (CRN),TITLE (CREDIT HOURS),CAMPUS,COURSE TIME,INSTRUCTOR
ANTH 1210,A01 (10557),Ancient Peoples and Places (3),M,"Sep 03 - Dec 08, 15:30-16:20 (MWF)",Jose Sanchez
ANTH 1210,A02 (10559),Ancient Peoples and Places (3),M,"Sep 03 - Dec 08, 11:30-12:20 (MWF)",Jose Sanchez
ANTH 1210,D01 (10789),Ancient Peoples and Places (3),DE,Sep 03 - Dec 08,Barbara Hewitt
ANTH 1210,A03 (10558),Ancient Peoples and Places (3),M,"Sep 03 - Dec 08, 11:30-12:45 (TR)",Mahyar KhademiBami
ANTH 1220,D01 (12114),Socio-Cultural Anthropology (3),DE,Sep 03 - Dec 08,Alison Baker
ANTH 1220,A01 (11161),Socio-Cultural Anthropology (3),M,"Sep 03 - Dec 08, 10:00-11:15 (TR)",Nicole Hayes
ANTH 1220,A02 (10560),Socio-Cultural Anthropology (3),M,"Sep 03 - Dec 08, 10:30-11:20 (MWF)",Md. Mahfuzar Rahman
ANTH 1220,A03 (12446),Socio-Cultural Anthropology (3),M,"Sep 03 - Dec 08, 14:30-15:20 (MWF)",Sölmundur Pálsson
ANTH 2000,D01 (22609),"Culture, Society, and Power (3)",DE,Sep 03 - Dec 08,Anna Fournier
ANTH 2000,A01 (16745),"Culture, Society, and Power (3)",M,"Sep 03 - Dec 08, 13:00-14:15 (TR)",Sölmundur Pálsson
ANTH 2020,A01 (22610),Relatedness in a Globalizing World (3),M,"Sep 03 - Dec 08, 10:00-11:15 (TR)",Warren Clarke
ANTH 2060,A01 (25718),European Archaeology (D) (3),M,"Sep 03 - Dec 08, 10:00-11:15 (TR)",
ANTH 2100,A01 (12091),Introduction to Archaeology (3),M,"Sep 03 - Dec 08, 11:30-12:20 (MWF)",Mahyar KhademiBami
ANTH 2470,A01 (25719),Media Anthropology (3),M,"Sep 03 - Dec 08, 14:30-17:15 (M)",Kathleen Buddle
ANTH 2800,A01 (25720),Introduction to Biological Anthropology (3),M,"Sep 03 - Dec 08, 13:30-14:20 (MWF)",Jose Sanchez
ANTH 2860,A01 (12374),Evolution and Human Diversity (3),M,"Sep 03 - Dec 08, 11:30-12:45 (TR)",Stacie Burke
ANTH 3380,A01 (25721),Anthropology and Contemporary Social Issues (3),M,"Sep 03 - Dec 08, 13:00-14:15 (TR)",Warren Clarke
ANTH 3470,A01 (10568),History of Anthropology (3),M,"Sep 03 - Dec 08, 11:30-14:15 (M)",Nicole Hayes
ANTH 3720,A01 (25723),Demography of Past Populations (3),M,"Sep 03 - Dec 08, 14:30-17:15 (T)",Stacie Burke
ANTH 3930,A01 (23875),Ethnographic Research Methods (3),M,"Sep 03 - Dec 08, 11:30-14:15 (W)",Kathleen Buddle
ANTH 3960,A01 (26497),Cultural Heritage Stewardship (3),M,"Sep 03 - Dec 08, 11:30-14:15 (R)",Laura Kelvin
ANTH 4470,A01 (26335),Scientific Methods and Applications in Archaeology and Biological Anthropology (3),M,"Sep 03 - Dec 08, 11:30-14:15 (M)",Julia Gamble
ANTH 4780,T08 (25724),Anthropology and The Land (3),M,"Sep 03 - Dec 08, 11:30-14:15 (T)",Lara Rosenoff Gauvin
ANTH 4790,T13 (25726),Anthropology of the Material World (3),M,"Sep 03 - Dec 08, 08:30-11:15 (M)",Kent Fowler
ANTH 7000,A01 (12910),Professional Development in Anthropology (Part A) (0),M,"Sep 03 - Dec 08, 11:30-14:15 (F)",Kent Fowler
ANTH 7410,T11 (25727),Anthropology of the Material World (3),M,"Sep 03 - Dec 08, 08:30-11:15 (M)",Kent Fowler
ANTH 7470,A01 (26336),Scientific Methods and Applications in Archaeology and Biological Anthropology (3),M,"Sep 03 - Dec 08, 11:30-14:15 (M)",Julia Gamble
ANTH 7640,A01 (24725),Contemporary Anthropological Theory (3),M,"Sep 03 - Dec 08, 08:30-11:15 (W)",Fabiana Li
ANTH 7900,T24 (25728),Anthropology and The land (3),M,"Sep 03 - Dec 08, 11:30-14:15 (T)",Lara Rosenoff Gauvin
ANTH 7940,T11 (26692),Anti-Oppressive Research Methodologies (3),M,Sep 03 - Dec 08,Kathleen Buddle
ANTH 7940,T12 (26693),Anthropology and Gendering in Ghana (3),M,Sep 03 - Dec 08,Kathleen Buddle
ANTH 7940,T03 (26691),"Anti-Oppressive, Ecofeminist, and Land-Based Research (3)",M,Sep 03 - Dec 08,Kathleen Buddle
ARTS 1110,B11 (22513),Introduction to University (0),M,"Sep 03 - Dec 08, 14:30-15:45 (R)",McNally Reimer
ARTS 1110,B15 (22517),Introduction to University (0),M,"Sep 03 - Dec 08, 11:30-12:45 (R)",Safron Blais
ARTS 1110,B13 (22515),Introduction to University (0),M,"Sep 03 - Dec 08, 20:30-21:45 (T)",Danendri Senanayake
ARTS 1110,B14 (22516),Introduction to University (0),M,"Sep 03 - Dec 08, 20:30-21:45 (T)",Abdulla Hil Aman Azmin
ARTS 1110,B16 (22518),Introduction to University (0),M,"Sep 03 - Dec 08, 11:30-12:45 (R)",Mohammad Amin Obohat
ARTS 1110,B22 (22524),Introduction to University (0),M,"Sep 03 - Dec 08, 14:30-15:45 (T)",Amalia Santiago
ARTS 1110,B18 (22520),Introduction to University (0),M,"Sep 03 - Dec 08, 14:30-15:45 (T)",Anselmo Vilanculo
ARTS 1110,B19 (22521),Introduction to University (0),M,"Sep 03 - Dec 08, 14:30-15:45 (T)",Camilla Dascal
