COURSE,SECTION (CRN),TITLE (CREDIT HOURS),CAMPUS,COURSE TIME,INSTRUCTOR
ANTH 1210,A01 (50492),Ancient Peoples and Places (3),M,"Jan 06 - Apr 09, 09:30-10:20 (MWF)",TBA
ANTH 1210,D01 (52118),Ancient Peoples and Places (3),DE,Jan 06 - Apr 09,Barbara Hewitt
ANTH 1210,A02 (50493),Ancient Peoples and Places (3),M,"Jan 06 - Apr 09, 11:30-12:45 (TR)",TBA
ANTH 1220,A03 (52093),Socio-Cultural Anthropology (3),M,"Jan 06 - Apr 09, 10:00-11:15 (TR)",Nicole Hayes
ANTH 1220,A02 (50496),Socio-Cultural Anthropology (3),M,"Jan 06 - Apr 09, 13:30-14:20 (MWF)",Sölmundur Pálsson
ANTH 1220,A01 (50495),Socio-Cultural Anthropology (3),M,"Jan 06 - Apr 09, 10:30-11:20 (MWF)",TBA
ANTH 1220,D01 (50705),Socio-Cultural Anthropology (3),DE,Jan 06 - Apr 09,TBA
ANTH 2000,D01 (52701),"Culture, Society, and Power (3)",DE,Jan 06 - Apr 09,Anna Fournier
ANTH 2000,A01 (51859),"Culture, Society, and Power (3)",M,"Jan 06 - Apr 09, 11:30-12:45 (TR)",Sölmundur Pálsson
ANTH 2100,A01 (51860),Introduction to Archaeology (3),M,"Jan 06 - Apr 09, 11:30-12:20 (MWF)",Kent Fowler
ANTH 2240,A01 (64274),Plagues and People (3),M,"Jan 06 - Apr 09, 10:30-11:20 (MWF)",Jose Sanchez
ANTH 2430,A01 (50500),"Ecology, Technology and Society (3)",M,"Jan 06 - Apr 09, 13:30-14:20 (MWF)",Nicole Hayes
ANTH 2530,A01 (62113),Anthropology of Political Systems (3),M,"Jan 06 - Apr 09, 10:00-11:15 (TR)",Sölmundur Pálsson
ANTH 2560,D01 (57368),Anthropology of Illness (3),DE,Jan 06 - Apr 09,Barbara Hewitt
ANTH 2640,A01 (65253),Manitoba Archaeology (3),M,"Jan 06 - Apr 09, 11:30-14:15 (R)",Sara Halwas
ANTH 2880,A01 (65219),Human Evolution (3),M,"Jan 06 - Apr 09, 12:30-13:20 (MWF)",Jose Sanchez
